               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 152,            0.013229,           0.0049049,                   0,             0.99733,                   1,             0.99497,             0.91415,            0.011012,           0.0025485,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.013321,           0.0049259,                   0,             0.99647,             0.99914,             0.99497,             0.91376,            0.011017,           0.0025474,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.013284,            0.004935,                   0,             0.99733,                   1,             0.99497,               0.914,            0.011021,           0.0025486,                   0,            0.004951,            0.004951,            0.004951
                 155,             0.01307,           0.0049683,                   0,             0.99733,                   1,             0.99497,              0.9135,            0.011023,           0.0025484,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.013039,           0.0050067,                   0,             0.99733,                   1,             0.99497,             0.91449,            0.011019,           0.0025488,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.013128,           0.0049559,                   0,             0.99733,                   1,             0.99497,             0.91457,            0.011015,           0.0025485,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.013141,           0.0048738,                   0,             0.99733,                   1,             0.99497,             0.91396,            0.011013,           0.0025478,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.013233,           0.0049552,                   0,             0.99733,                   1,             0.99497,             0.91487,            0.011013,           0.0025473,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.013195,           0.0048942,                   0,             0.99733,                   1,             0.99497,             0.91392,            0.011012,           0.0025469,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.012961,           0.0049788,                   0,             0.99733,                   1,             0.99497,             0.91415,            0.011014,           0.0025461,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.013153,           0.0049012,                   0,             0.99733,                   1,             0.99497,             0.91386,            0.011016,           0.0025464,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.013312,           0.0049265,                   0,             0.99733,                   1,             0.99497,             0.91352,            0.011012,           0.0025454,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.013144,           0.0049188,                   0,             0.99733,                   1,             0.99497,             0.91463,            0.011004,           0.0025444,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.013175,           0.0048739,                   0,             0.99733,                   1,             0.99497,             0.91458,            0.010999,           0.0025439,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.012857,           0.0048568,                   0,             0.99733,                   1,             0.99497,             0.91439,            0.010997,           0.0025448,                   0,            0.004555,            0.004555,            0.004555
